epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10381.6,1.64114,1.30454,1.803,0.64239,0.62181,0.64738,0.43681,1.58362,1.14161,1.73393,0.000485566,0.000485566,0.000485566
43,10627.9,1.62742,1.28641,1.79262,0.66925,0.59982,0.64584,0.43831,1.57192,1.13814,1.72601,0.000466163,0.000466163,0.000466163
44,10874.3,1.62976,1.27952,1.79277,0.66743,0.61807,0.65444,0.44232,1.56956,1.13995,1.72421,0.000446819,0.000446819,0.000446819
45,11121,1.61505,1.26195,1.78463,0.67811,0.59603,0.65249,0.44298,1.5699,1.13208,1.72037,0.000427565,0.000427565,0.000427565
46,11367.7,1.61738,1.26583,1.78474,0.6922,0.60719,0.66286,0.44695,1.56454,1.12306,1.72126,0.00040843,0.00040843,0.00040843
47,11614.3,1.59831,1.24463,1.7718,0.68157,0.61367,0.66056,0.44757,1.5631,1.12496,1.72192,0.000389445,0.000389445,0.000389445
48,11860.6,1.59881,1.23281,1.76509,0.66772,0.62537,0.66381,0.4518,1.55006,1.11495,1.70927,0.000370637,0.000370637,0.000370637
49,12106.7,1.58812,1.22051,1.75728,0.67113,0.61349,0.66404,0.45183,1.54844,1.10656,1.70564,0.000352037,0.000352037,0.000352037
50,12353.2,1.58834,1.21372,1.75678,0.67971,0.60735,0.66195,0.45075,1.54717,1.1056,1.70464,0.000333672,0.000333672,0.000333672
51,12599.1,1.58053,1.20991,1.75394,0.69972,0.59341,0.66258,0.45247,1.54774,1.10757,1.70604,0.000315572,0.000315572,0.000315572
52,12845.8,1.57455,1.19702,1.74737,0.68508,0.61097,0.66781,0.45381,1.5528,1.0941,1.70444,0.000297763,0.000297763,0.000297763
53,13091.8,1.57253,1.20252,1.74753,0.65506,0.62896,0.66742,0.45077,1.54692,1.10993,1.70222,0.000280275,0.000280275,0.000280275
54,13337.8,1.55956,1.18295,1.73784,0.66737,0.62146,0.67016,0.45545,1.54353,1.09392,1.70104,0.000263132,0.000263132,0.000263132
55,13584.1,1.55206,1.17846,1.73728,0.66552,0.629,0.67544,0.4604,1.54422,1.09177,1.70211,0.000246363,0.000246363,0.000246363
56,13830.4,1.54862,1.16351,1.72462,0.69019,0.59767,0.66722,0.45536,1.55674,1.09813,1.70668,0.000229993,0.000229993,0.000229993
57,14076.4,1.53621,1.15283,1.71986,0.69944,0.60501,0.67202,0.45888,1.54617,1.09343,1.70103,0.000214046,0.000214046,0.000214046
58,14322.8,1.53914,1.14988,1.72009,0.67962,0.6288,0.67738,0.46128,1.55054,1.08341,1.70703,0.000198548,0.000198548,0.000198548
59,14569.2,1.52989,1.13473,1.71619,0.69485,0.61716,0.67759,0.46374,1.5455,1.08635,1.70483,0.000183523,0.000183523,0.000183523
60,14815.5,1.52745,1.1329,1.70976,0.69063,0.62161,0.68068,0.46297,1.53999,1.08301,1.69814,0.000168994,0.000168994,0.000168994
61,15061.6,1.52033,1.13238,1.70816,0.69344,0.62498,0.68224,0.46514,1.53876,1.08528,1.69456,0.000154982,0.000154982,0.000154982
62,15307.9,1.51648,1.11847,1.7027,0.69957,0.61178,0.67892,0.46161,1.54447,1.08393,1.70622,0.00014151,0.00014151,0.00014151
63,15554.1,1.51193,1.11642,1.69974,0.6811,0.62711,0.67912,0.46371,1.54818,1.08762,1.70714,0.000128599,0.000128599,0.000128599
64,15800.5,1.51315,1.11315,1.70311,0.67493,0.63096,0.67545,0.4602,1.54938,1.09193,1.70619,0.000116268,0.000116268,0.000116268
65,16046.8,1.50511,1.10275,1.69605,0.71997,0.60171,0.67404,0.46018,1.54951,1.0891,1.70761,0.000104537,0.000104537,0.000104537
66,16292.9,1.50171,1.10655,1.70169,0.7144,0.604,0.67121,0.45924,1.547,1.09201,1.70496,9.34225e-05,9.34225e-05,9.34225e-05
67,16538.9,1.49314,1.09336,1.69058,0.70496,0.60739,0.67078,0.4595,1.5446,1.09433,1.70511,8.29431e-05,8.29431e-05,8.29431e-05
68,16784.8,1.47768,1.07691,1.68143,0.71841,0.59903,0.6731,0.4587,1.54643,1.09675,1.70867,7.31145e-05,7.31145e-05,7.31145e-05
69,17031.3,1.48793,1.09049,1.68913,0.72715,0.59766,0.67196,0.45803,1.54488,1.09864,1.70709,6.39518e-05,6.39518e-05,6.39518e-05
70,17277.5,1.49863,1.09137,1.68874,0.69936,0.61663,0.6736,0.46016,1.54384,1.09546,1.70603,5.54691e-05,5.54691e-05,5.54691e-05
71,17519.3,1.32756,0.8651,1.60172,0.68991,0.61869,0.66368,0.45315,1.55687,1.10591,1.7194,4.76796e-05,4.76796e-05,4.76796e-05
